,ID,SMILES,filename,time
0,18362109 SCHEMBL7868959,CCCCOC(=O)C(=C)C(C(Cl)(Cl)Cl)O.CCCCOC(=O)C(=C)C(C(Cl)(Cl)Cl)O.CCCCOC(=O)C(=C)C(C(Cl)(Cl)Cl)O.[O-2].[V+2],Structure2D_CID_18362109.sdf,1600174128.8154883
1,18368606 SCHEMBL6812902,CC(C1=[C-]CC=C1)N(C)C.CC(C1=[C-]CC=C1)N(C)C.[V+2],Structure2D_CID_18368606.sdf,1600094602.6206846
2,18368706 SCHEMBL6812997,CCN(CC)C(C)C1=[C-]CC=C1.CCN(CC)C(C)C1=[C-]CC=C1.[V+2],Structure2D_CID_18368706.sdf,1600174279.5893278
3,"20326355 4-dione; vanadium|SCHEMBL1535065|CTK0H9167""",CC(=O)CC(=O)C.[V],Structure2D_CID_20326355.sdf,1600174347.642184
4,21481400 SCHEMBL11761091,CC(=CCCC(=CCO)C)C.O[V](=O)O,Structure2D_CID_21481400.sdf,1600174396.2358806
5,21481410 SCHEMBL11758923,CC(=CCCC(C)(C=C)O)C.O[V](=O)O,Structure2D_CID_21481410.sdf,1600174419.8023274
6,22034608 SCHEMBL1408845,C(#N)C(C#N)C(=C=[N-])C#N.C(#N)C(C#N)C(=C=[N-])C#N.[V+2],Structure2D_CID_22034608.sdf,1600318106.5524862
7,56836803 SCHEMBL664271,C(C(=O)O)C(CC(=O)O)(C(=O)O)O.[V],Structure2D_CID_56836803.sdf,1600318172.9871254
8,71311352  AcroSeal(R)| SCHEMBL7929736| Vanadium(III) chloride tetrahydrofuran adduct|Vanadium(III) chloride tetrahydrofuran complex (1:3),C1CCOC1.Cl[V](Cl)Cl,Structure2D_CID_71311352.sdf,1600318201.1719742
9,74538  (T-4)-|EINECS 217-292-2|Vanadyl-tris-n-butylester|SCHEMBL7532580|Vanadic acid,CCCCO.CCCCO.CCCCO.O=[V],Structure2D_CID_74538.sdf,1600318238.394118
